Name,Photos,Paperwork/Receipts,Status,Type,Style,Brand,Model,Year,Serial Number,Link,Date Acquired,Purchased Location,Replacement Value,Purchase Value,Maintenance,Accessories,Notes,ID,Asset Link,Record ID,Checked Out,Date In/Out,EPC,Location,Linked Instruments
Keyboard,,,Current,Instrument,Keyboard,Casio,,,,,2023-05-06,Freebie,$100.00,$0.00,,,,124,https://gearcheck.nicholewagner.com/item/124,rec3iMBYWszlwQtr9,,,,Shed,
Speaker stand,,,Current,Stand,Speaker Stand,,,2022,,,2022-09-25,Amazon,$60.00,$60.00,,,,114,https://gearcheck.nicholewagner.com/item/114,recws9ji4P5rYrUpV,,,E280699500005005EF4335C0,Shed,
Speaker stand,,,Current,Stand,Speaker Stand,,,2022,,,2022-09-25,Amazon,$60.00,$60.00,,,,115,https://gearcheck.nicholewagner.com/item/115,recxAjA0QoYdRcQun,,,202012151310112200000628,Car,
Mackie DL16S Mixer,,,Current,Live Sound,Mixer,Mackie,DL16S,2022,204901300PKS0430,,2022-09-30,SamAsh,$899.00,$899.00,,,,106,https://gearcheck.nicholewagner.com/item/106,recwUU2KlM84JbfJW,,,04736500000000000000775E,Shed,
Shure Bank Bag,,,Current,Other,Other,,,,,,,,$0.00,$0.00,,,,100,https://gearcheck.nicholewagner.com/item/100,recJRFIGM2o4CjGgg,,8/5/2022 5:24pm,,,
Mini Merch Case,2022-08-20 19.03.29.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/KkG5hvdC5G1bD5DDUga0-w/ONq1iaWkMCYZm_oQ-t0tdmkJL6kMcLRjq4ctcXrsDyIHQNPxVZh8J9IDGv4FsRi36jby94zK-RORypbcCO7P1SGy7Fux9IdmaB5C7BChpJmS5Mttm5jnrnwZslsgYX-6EuT9It3Ra3CL1rfUDtzJxJ73mnI-kfajX6QbL0_8WsI/aO5A1hMMLF6LJ-UwzV_Xf2p5tE-0bDd9AGoJ86UbeFg),,Current,Other,Other,Samsonite,,,,,,,$50.00,$23.00,,,,102,https://gearcheck.nicholewagner.com/item/102,recgJaIuK9kyocFOr,,3/25/2023 3:33pm,E280699500005005EF4495C1,,
Tip Jar,,,Current,Other,Other,,Tip Jar,,,,,,$0.00,$0.00,,,,107,https://gearcheck.nicholewagner.com/item/107,rec7wjdE0cjoMS75L,,3/25/2023 3:33pm,E2801160600002136007CD2C,,
Stage Clock,,,Current,Other,Other,,,,,,,,,,,,,120,https://gearcheck.nicholewagner.com/item/120,rechmEmX1MUpj5xCv,,,E200001D700D015917808677,,
Autoharp,,,Current,Instrument,Other,Oscar Schmidt,,,,,2022-06-02,Goodwill Auction,$150.00,$150.00,,,,116,https://gearcheck.nicholewagner.com/item/116,rec8EEnuRsS5Glj4K,,,,,
uGrockIt RFID Scanner,,,Current,Other,Other,GrokIt,RIFD,,,,2022-07-30,eBay,$300.00,$115.00,,,,99,https://gearcheck.nicholewagner.com/item/99,recNV3UkKRHgdS2gr,,,,,
Amp Stand,2022-03-31 21.48.48.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/7mrld95A5GJgbQmtTTTlbw/vHsKGhkxlTVFGUd0Dm3oUMfglhTv7w2q5fgf1RW04nLfCWFaF2N6zWsBimmQgqj3YJfGcFH53SmnLUZRQrXpddjMvE3uf2lVYjoOBmBEDmCIXh_lSdsq8TLn0aPa8ZOUpJFdl1wHhbj3YPXZbkNVUt26IQAjGxnkuH_6X-ZPUuY/w6oAeB-ZciIaH-Gp_jbClbsDBLW8MDzLveFNdpzdsRA),Screen Shot 2022-04-01 at 8_10_29 AM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/Rio5Vc1X6rHoh2ZZF6fAvA/zxfxgOl7q-1iMP6JCBc0NAkN6FtGLOUho7PEVcvHPMuWpyNVp4Vfao-WLUFumh4GBHuc_vBTM8cAwpFBP5E6sGVNKVwq5HL1oU63JXB_OozQfstJ8VJxPuvZDn4YqAcEzdIk0mNHd7awPSOSpHfs4QxbTAyBbbWeAlxN1PWYyFE/BfNoNX84J_qSLbKvuq7KmQQjz1PjAXhEPpLcKfXrCbw),Current,Stand,Amp Stand,On Stage,,,,,2019-07-01,Amazon,$42.00,$30.95,,,,67,https://gearcheck.nicholewagner.com/item/67,recGf7agWXsN2zNFY,,,,,
K&M Mic Stand,2022-03-31 21.48.00.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/VQYECwWllWXQMCDBTHB3nA/Mwk8xfsj5EWXAAJF90mSfLukg2wzzsObcusBGNarshmGTZ3HEeWFzo2RP4VgniNqYOHdHZCNuUMQ0_4HoJyLX02QqqAt-P1T9riGE7UkbItVAcOaeMxuBbqW7nm1Uy3Z2CcWlESaKnqGmiUxoWWcHEiGtbKxvNrbzpuvfePCfVU/1D9WYyh1HVwld_MDAklefVh27BKnTXTUXrItC9O1ALc),Screen Shot 2022-04-01 at 8_10_29 AM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/ySsx4A6V_c1gC_nCkR7tyg/qH14qLGotBMq1dZ147PXSaEJgK2Bn2GRtDkIYyh7FxZ8ssyD63VxyapeoeA8qiO-cyyfKMWh7TkkJtIK_6Kn6EMgxE3EXg6UHwvXzT7Z8LDdZ9a_9Zc86hhlkh5iq4GdkHm7LMDr2gEfTgKmEre1Br7FISMeJvEPCDsu5UnVNVo/mYEFoIgepma4k-XOwY2gf6qtc3aZ994yZEHFadV-630),Current,Stand,Mic Stand,K&M,21020.500.55,2019,,,2019-06-11,Amazon,$80.00,$66.38,,,,65,https://gearcheck.nicholewagner.com/item/65,rec2hxHvltG2RJNBj,,,,Car,
